N = 3

9	1		0-0-X; 1-0-O; 2-0-X; 0-1-O; 0-2-O; 1-2-X; 2-2-O; 1-1-X; 2-1-X; 
9	2		0-0-X; 1-0-O; 2-0-X; 0-1-O; 0-2-O; 1-2-X; 2-2-O; 1-1-X; 2-1-O; 
9	3		0-0-X; 1-0-O; 2-0-X; 0-1-O; 0-2-O; 1-2-X; 2-2-O; 2-1-X; 1-1-X; 
9	4		0-0-X; 1-0-O; 2-0-X; 0-1-O; 0-2-O; 1-2-X; 2-2-O; 2-1-X; 1-1-O; 
9	5		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 0-2-O; 2-2-O; 1-1-X; 2-1-X; 
9	6		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 0-2-O; 2-2-O; 1-1-X; 2-1-O; 
9	7		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 0-2-O; 2-2-O; 2-1-X; 1-1-X; 
9	8		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 0-2-O; 2-2-O; 2-1-X; 1-1-O; 
9	9		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 2-1-X; 1-1-O; 0-2-X; 
9	10		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 2-1-X; 1-1-O; 0-2-O; 
9	11		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 2-1-X; 0-2-O; 1-1-X; 
9	12		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 2-1-X; 0-2-O; 1-1-O; 
9	13		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 0-2-O; 1-1-X; 2-1-X; 
9	14		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 0-2-O; 1-1-X; 2-1-O; 
9	15		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 0-2-O; 2-1-X; 1-1-X; 
9	16		0-0-X; 1-0-O; 2-0-X; 0-1-O; 1-2-X; 2-2-O; 0-2-O; 2-1-X; 1-1-O; 
9	17		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 2-1-X; 1-2-X; 1-1-O; 0-2-X; 
9	18		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 2-1-X; 1-2-X; 1-1-O; 0-2-O; 
9	19		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 2-1-X; 1-2-X; 0-2-O; 1-1-X; 
9	20		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 2-1-X; 1-2-X; 0-2-O; 1-1-O; 
9	21		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 2-1-X; 1-1-O; 0-2-X; 
9	22		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 2-1-X; 1-1-O; 0-2-O; 
9	23		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 2-1-X; 0-2-O; 1-1-X; 
9	24		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 2-1-X; 0-2-O; 1-1-O; 
9	25		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 0-2-O; 1-1-X; 2-1-X; 
9	26		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 0-2-O; 1-1-X; 2-1-O; 
9	27		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 0-2-O; 2-1-X; 1-1-X; 
9	28		0-0-X; 1-0-O; 2-0-X; 0-1-O; 2-2-O; 1-2-X; 0-2-O; 2-1-X; 1-1-O; 
9	29		0-0-X; 1-0-O; 2-0-X; 2-1-O; 0-2-O; 0-1-X; 1-2-X; 1-1-O; 2-2-X; 
9	30		0-0-X; 1-0-O; 2-0-X; 2-1-O; 0-2-O; 0-1-X; 1-2-X; 1-1-O; 2-2-O; 
